Name,Qentry,Lattitude,Longitude,Marker,InfoWindow,EssayTitle,EssayLink,NextTitle,OtherLink
Ursula01,,42.92025,-73.23919,,,,https://docs.google.com/document/d/1xDkBV3zweObtz0VFDnemolGnJA7IG-N05Cd1LKrWaC8/edit#bookmark=id.nfxnpabbdq8g,,https://docs.google.com/document/d/1rReQulHd2lFMf4k1P8493qxMSVnA-gmNIdTvdR5eg9s/edit#bookmark=id.7ua943qh6aje 
Ursula02,,,,,,,,,
,,,,,,,,,
Zoe01,40,39.8579,74.006,"New york City, USA",An ancient craft-form from a desination in either of the American continents,Tiffany Company ,https://docs.google.com/document/d/1SCFAQNdAFG0qEL1fGS-qPDpiJyVkzlkG-vzJ_XmMUXE/edit#bookmark=id.kevjy13h0t52 ,Berkshire NY,https://docs.google.com/document/d/1SCFAQNdAFG0qEL1fGS-qPDpiJyVkzlkG-vzJ_XmMUXE/edit#bookmark=id.kevjy13h0t52 
Seth01,42,42.3042,76.1866,"Berkshire, New York, USA","Some place where a species used to live,but has now gone extinct due to mankind","Berkshire, NY, Bird Paradise
",https://docs.google.com/document/d/1rReQulHd2lFMf4k1P8493qxMSVnA-gmNIdTvdR5eg9s/edit#bookmark=id.7ua943qh6aje ,Ann Arbor MI,https://docs.google.com/document/d/1qVCaBoC4ZKBrJxXuSQFriBb-EzUcCmXvAklrN0ltLEE/edit#bookmark=id.27gcziho0qgl 
Zoe 02,22,42.26212,83.749365,"Ann Arbor MI,USA",A place of entertainment or consumption,Ann Arbor MI,https://docs.google.com/document/d/1qVCaBoC4ZKBrJxXuSQFriBb-EzUcCmXvAklrN0ltLEE/edit#bookmark=id.27gcziho0qgl ,Mississippi River,https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.wj46e1gkteb 
Sbobo01,55,41.5067,90.5151,Moline IL USA,A place where you can take a boat or barge ride up or down a river,Mississippi River,https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.wj46e1gkteb ,"Ceder Falls, AK",https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.r5gbe6p3awzr
Seth04,34,35.130543,92.920945,"Ceder Falls, AK,USA",A naturally-occuring waterfall or underground water system,"A natural occuring waterfall in Cedar Falls, Arkansas",https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.r5gbe6p3awzr,Roswell NM,https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.qpxf7psoaqkn
Tyler01,38,33.3943,104.523,Roswell NM USA,A place where people say ancient extraterrestrial life is referenced ,Roswell Ufo Crash,https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.qpxf7psoaqkn,Supai AZ,https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.bi60s740zym5
Zoe02,17,36.2369,112.6891,Supai AZ USA,A destination where you must travel by pack animal,"Supai, Arizona  ",https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.bi60s740zym5,Silicon Valley CA,https://docs.google.com/document/d/1rReQulHd2lFMf4k1P8493qxMSVnA-gmNIdTvdR5eg9s/edit#bookmark=id.6b0w3lm9yfzy
George 01,23,37.3875,122.0575,Silicon Valley CA USA,A site devoted to a scientific endeavor ,Silicon valley ,https://docs.google.com/document/d/1rReQulHd2lFMf4k1P8493qxMSVnA-gmNIdTvdR5eg9s/edit#bookmark=id.6b0w3lm9yfzy ,Oahu HI,https://docs.google.com/document/d/1pebVHZv_VxjFX4sp3VT57P70RtmBGdAcJ7-8416pFUs/edit#bookmark=id.2xm3r43p4cwk
Tyler02,63,21.4389,158.0001,Oahu Hawaii USA,A place where salt is ( or was) Special,Hawaii,https://docs.google.com/document/d/1pebVHZv_VxjFX4sp3VT57P70RtmBGdAcJ7-8416pFUs/edit#bookmark=id.2xm3r43p4cwk,Tulem Mexico,https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.hll2xhid2541
jessica01,79,20.2114,87.4654,"Tulum, Mexico",an underwater destination,"Underwater cave in Tulum, Mexico
",https://docs.google.com/document/d/18JX9REPi9xc6ApUhSFks0S5JUo3nA3_ZaSm_moaICIY/edit#bookmark=id.hll2xhid2541,Livingston Guatamala,https://docs.google.com/document/d/1rReQulHd2lFMf4k1P8493qxMSVnA-gmNIdTvdR5eg9s/edit#bookmark=id.wkdtfu207xnn
